"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"oru",2017,1140,"10.1386/ijcm.10.1.45_1",TRUE,"Intellect","International Journal of Community Music","1752-6299","1752-6299","1752-6302",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2016,480,"10.5772/62162",FALSE,"Intech","International Journal of Advanced Robotic Systems","1729-8806","1729-8814","1729-8814",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"oru",2015,1897,"10.1186/s12955-014-0183-3",FALSE,"Springer","Health and Quality of Life Outcomes","1477-7525",NA,"1477-7525",NA,NA,TRUE,"25526751","PMC4297415",NA,NA,TRUE
"oru",2016,976,"10.1177/1350506815577114",TRUE,"SAGE Publications","European Journal of Women's Studies","1461-7420","1350-5068","1461-7420",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
