institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
oru	2017	2200	10.1007/s10803-017-3128-y	TRUE						
oru	2017	2200	10.1007/s11019-017-9818-6	TRUE						
oru	2017	2200	10.1007/s00268-017-4328-5	TRUE						
oru	2017	2200	10.1007/s10639-017-9669-z	TRUE						
oru	2017	2200	10.1007/s11187-017-9947-6	TRUE						
oru	2017	2200	10.1007/s10730-017-9325-4	TRUE						
oru	2017	2200	10.1007/s00330-017-5100-9	TRUE						
oru	2017	2200	10.1007/s00158-017-1679-3	TRUE						
oru	2017	2200	10.1007/s11695-017-2570-4	TRUE						
oru	2017	2200	10.1007/s10964-017-0795-0	TRUE						
oru	2017	2200	10.1007/s41809-017-0009-z	TRUE						
oru	2017	2200	10.1007/s00240-017-0994-x	TRUE						
oru	2017	2200	10.1007/s10096-017-2966-z	TRUE						
oru	2017	2200	10.1007/s41549-017-0016-7	TRUE						
oru	2017	2200	10.1007/s00701-017-3358-y	TRUE						
oru	2017	2200	10.1007/s12032-017-0893-6	TRUE						
oru	2017	2200	10.1007/s13394-017-0202-x	TRUE						
oru	2017	2200	10.1007/s10732-016-9322-9	TRUE						
oru	2016	1346	10.1371/journal.pone.0160099	FALSE						
oru	2017	2600	10.1093/bja/aex332	TRUE						
oru	2017	2600	10.1093/bja/aex331	TRUE						
oru	2017	849	10.1186/s40152-017-0061-9	FALSE						
oru	2016	1350	10.1155/2017/8915872	FALSE						
oru	2016	3870	10.1111/apt.13868	TRUE						
oru	2015	1338	10.1002/cre2.6	FALSE						
oru	2017	1619	10.1186/s13034-017-0179-y	FALSE						
oru	2016	1732	10.1186/s12877-016-0244-z	FALSE						
oru	2015	2200	10.1007/s10926-015-9596-z	TRUE						
oru	2015	1215	10.1371/journal.pone.0134836	FALSE						
oru	2015	2208	10.1057/rm.2015.10	TRUE						
oru	2015	1692	10.3390/s150306845	FALSE						
oru	2015	2655	10.1080/13669877.2015.1043570	TRUE						
oru	2015	1575	10.1109/MRA.2014.2381357	TRUE						
oru	2016	1125	10.1162/GLEP_a_00390 	TRUE						
oru	2016	216	10.4236/health.2016.85051	FALSE						
oru	2015	899	 10.4236/ojn.2015.59086	FALSE						
oru	2015	899	10.4236/ojn.2015.511110	FALSE						
oru	2015	1080	10.4236/health.2015.79131	FALSE						
oru	2015	1080	10.4236/health.2015.73033  	FALSE						
oru	2015	899	10.4236/ojn.2016.61007	FALSE						
