institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
cth	2017	2200	10.1007/s00365-017-9393-3	TRUE	Springer	Constructive Approximation	0176-4276	0176-4276	1432-0940	0176-4276	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000431111400007	NA	FALSE
cth	2017	2200	10.1007/s00424-017-2069-9	TRUE	Springer	Pflügers Archiv - European Journal of Physiology	0031-6768	0031-6768	1432-2013	0031-6768	http://creativecommons.org/licenses/by/4.0	TRUE	28951968	PMC5748430	ut:000419157300014	NA	FALSE
cth	2017	2200	10.1007/s00466-017-1419-y	TRUE	Springer	Computational Mechanics	0178-7675	0178-7675	1432-0924	0178-7675	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000414148300001	NA	FALSE
cth	2017	2200	10.1007/s00466-017-1426-z	TRUE	Springer	Computational Mechanics	0178-7675	0178-7675	1432-0924	0178-7675	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000414148300007	NA	FALSE
cth	2017	2200	10.1007/s00466-017-1460-x	TRUE	Springer	Computational Mechanics	0178-7675	0178-7675	1432-0924	0178-7675	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000431665900002	NA	FALSE
cth	2017	2200	10.1007/s00601-017-1307-1	TRUE	Springer	Few-Body Systems	0177-7963	0177-7963	1432-5411	0177-7963	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000404597400006	NA	FALSE
cth	2017	2200	10.1007/s00773-017-0451-0	TRUE	Springer	Journal of Marine Science and Technology	0948-4280	0948-4280	1437-8213	0948-4280	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000426399100003	NA	FALSE
cth	2017	2200	10.1007/s10008-017-3518-2	TRUE	Springer	Journal of Solid State Electrochemistry	1432-8488	1432-8488	1433-0768	1432-8488	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000401736100006	NA	FALSE
cth	2017	2200	10.1007/s10111-017-0448-9	TRUE	Springer	Cognition, Technology & Work	1435-5558	1435-5558	1435-5566	1435-5558	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000425116800005	NA	FALSE
cth	2017	2200	10.1007/s10295-017-1911-6	TRUE	Springer	Journal of Industrial Microbiology & Biotechnology	1367-5435	1367-5435	1476-5535	1367-5435	http://creativecommons.org/licenses/by/4.0	TRUE	28185100	PMC5432608	ut:000401464400010	NA	FALSE
cth	2017	2200	10.1007/s10479-017-2721-y	TRUE	Springer	Annals of Operations Research	0254-5330	0254-5330	1572-9338	0254-5330	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000430492100006	NA	FALSE
cth	2017	2200	10.1007/s10494-017-9801-6	TRUE	Springer	Flow, Turbulence and Combustion	1386-6184	1386-6184	1573-1987	1386-6184	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000400980500010	NA	FALSE
cth	2017	2200	10.1007/s10494-017-9833-y	TRUE	Springer	Flow, Turbulence and Combustion	1386-6184	1386-6184	1573-1987	1386-6184	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000417865600004	NA	FALSE
cth	2017	2200	10.1007/s10529-017-2371-9	TRUE	Springer	Biotechnology Letters	0141-5492	0141-5492	1573-6776	0141-5492	http://creativecommons.org/licenses/by/4.0	TRUE	28573540	PMC5544809	ut:000407346400015	NA	FALSE
cth	2017	2200	10.1007/s10534-017-0058-2	TRUE	Springer	BioMetals	0966-0844	0966-0844	1572-8773	0966-0844	http://creativecommons.org/licenses/by/4.0	TRUE	29063292	PMC5684295	ut:000415283000001	NA	FALSE
cth	2017	2200	10.1007/s10543-017-0666-9	TRUE	Springer	BIT Numerical Mathematics	0006-3835	0006-3835	1572-9125	0006-3835	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000426857000002	NA	FALSE
cth	2017	2200	10.1007/s10543-017-0684-7	TRUE	Springer	BIT Numerical Mathematics	0006-3835	0006-3835	1572-9125	0006-3835	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000415733300002	NA	FALSE
