institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
BTH Blekinge Institute of Technology,2023,12244.09,10.3389/fcomp.2023.957920,FALSE,Frontiers Media SA,Frontiers in Computer Science,2624-9898,NA,2624-9898,2624-9898,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,6978.3,10.4017/gt.2023.21.1.813.02,FALSE,International Society for Gerontechnology (ISG),Gerontechnology,1569-1101,1569-1101,1569-111X,1569-1101,NA,TRUE,NA,NA,NA,NA,FALSE
BTH Blekinge Institute of Technology,2023,2352.93,10.30560/ier.v6n2p10,FALSE,Ideas Spread,International Educational Research,2576-3067,2576-3059,2576-3067,2576-3059,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
BTH Blekinge Institute of Technology,2023,14423.88,10.5194/amt-16-1849-2023,FALSE,Copernicus GmbH,Atmospheric Measurement Techniques,1867-8548,NA,1867-8548,1867-1381,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,38836.28,10.2196/46105,FALSE,JMIR Publications Inc.,Journal of Medical Internet Research,1438-8871,NA,1438-8871,1438-8871,NA,TRUE,37467031,PMC10398366,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,26846.15,10.1109/access.2023.3303107,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,21479.45,10.1109/access.2023.3324612,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,14065.33,10.1109/jstars.2023.3324732,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,1939-1404,2151-1535,1939-1404,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,16756.14,10.1109/access.2023.3327440,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by/4.0/legalcode,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,9447.19,10.1016/j.ejrs.2023.10.006,FALSE,Elsevier BV,The Egyptian Journal of Remote Sensing and Space Science,1110-9823,1110-9823,NA,1110-9823,http://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,22671.76,10.1515/jgth-2023-0110,TRUE,Walter de Gruyter GmbH,Journal of Group Theory,1433-5883,1433-5883,1435-4446,1433-5883,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
BTH Blekinge Institute of Technology,2023,35570.95,10.3389/fbioe.2023.1336255,FALSE,Frontiers Media SA,Frontiers in Bioengineering and Biotechnology,2296-4185,NA,2296-4185,2296-4185,https://creativecommons.org/licenses/by/4.0/,TRUE,38260734,PMC10801181,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,20369.23,10.1109/access.2023.3343910,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by/4.0/legalcode,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2023,21722.96,10.1109/access.2023.3318009,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
Dalarna University,2023,30691.96,10.1123/japa.2022-0304,TRUE,Human Kinetics,Journal of Aging and Physical Activity,1063-8652,1063-8652,1543-267X,1063-8652,http://creativecommons.org/licenses/by/4.0,TRUE,37019438,NA,NA,NA,FALSE
Dalarna University,2023,10421.01,10.1891/pa-2022-0043,FALSE,Springer Publishing Company,Partner Abuse,1946-6560,1946-6560,1946-6579,1946-6560,NA,TRUE,NA,NA,NA,NA,FALSE
Dalarna University,2023,18818.94,10.1371/journal.pone.0282780,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,NA,1932-6203,1932-6203,http://creativecommons.org/licenses/by/4.0/,TRUE,36897847,PMC10004540,NA,NA,TRUE
Dalarna University,2023,26235.02,10.1155/2023/4754066,FALSE,Hindawi Publishing Corporation,Health & Social Care in the Community,1365-2524,NA,1365-2524,0966-0410,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,FALSE
Dalarna University,2023,10540.99,10.2196/52489,FALSE,JMIR Publications Inc.,JMIR Research Protocols,1929-0748,NA,1929-0748,1929-0748,NA,TRUE,37943590,PMC10667985,NA,NA,TRUE
Dalarna University,2023,20447.99,10.18332/ejm/174234,FALSE,E.U. European Publishing,European Journal of Midwifery,2585-2906,NA,2585-2906,2585-2906,NA,TRUE,38106465,PMC10722304,NA,NA,TRUE
Dalarna University,2023,22643.05,10.3390/children11010095,FALSE,MDPI AG,Children,2227-9067,NA,2227-9067,2227-9067,https://creativecommons.org/licenses/by/4.0/,TRUE,38255408,PMC10814711,NA,NA,TRUE
Halmstad University,2023,32473.02,10.1136/bmjsem-2023-001746,FALSE,BMJ,BMJ Open Sport & Exercise Medicine,2055-7647,NA,2055-7647,2055-7647,http://creativecommons.org/licenses/by-nc/4.0/,TRUE,38022763,PMC10661067,NA,NA,TRUE
Halmstad University,2023,7211.02,10.18848/2325-1328/cgp/v17i02/17-42,TRUE,Common Ground Research Networks,The International Journal of Design in Society,2325-1328,2325-1328,2325-1360,2325-1328,NA,TRUE,NA,NA,NA,NA,FALSE
Halmstad University,2023,20825.03,10.1123/jsep.2021-0244,FALSE,Human Kinetics,Journal of Sport and Exercise Psychology,0895-2779,0895-2779,1543-2904,0895-2779,NA,TRUE,36041730,NA,NA,NA,FALSE
Halmstad University,2023,19349.02,10.1109/access.2022.3229168,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by/4.0/legalcode,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,21669,10.1109/access.2023.3280122,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,22404.02,10.1109/access.2023.3315234,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by/4.0/legalcode,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,8849.94,10.2196/46595,FALSE,JMIR Publications Inc.,JMIR Research Protocols,1929-0748,NA,1929-0748,1929-0748,NA,TRUE,37256654,PMC10275513,NA,NA,TRUE
Halmstad University,2023,22557.98,10.2196/49973,FALSE,JMIR Publications Inc.,Interactive Journal of Medical Research,1929-073X,NA,1929-073X,1929-073X,NA,TRUE,37878357,PMC10632913,NA,NA,TRUE
Halmstad University,2023,22836.97,10.2196/50216,FALSE,JMIR Publications Inc.,JMIR Research Protocols,1929-0748,NA,1929-0748,1929-0748,NA,TRUE,37938896,PMC10666006,NA,NA,TRUE
Halmstad University,2023,28985.99,10.2196/47335,FALSE,JMIR Publications Inc.,JMIR Formative Research,2561-326X,NA,2561-326X,2561-326X,NA,TRUE,37610799,PMC10483295,NA,NA,TRUE
Halmstad University,2023,43971.99,10.2196/46934,FALSE,JMIR Publications Inc.,Journal of Medical Internet Research,1438-8871,NA,1438-8871,1438-8871,NA,TRUE,37889530,PMC10638630,NA,NA,TRUE
Halmstad University,2023,15642.02,10.1155/2023/1945290,FALSE,Hindawi Publishing Corporation,Occupational Therapy International,1557-0703,0966-7903,1557-0703,0966-7903,https://creativecommons.org/licenses/by/4.0/,TRUE,36824380,PMC9943603,NA,NA,TRUE
Halmstad University,2023,5677.04,10.3390/smartcities6050116,FALSE,MDPI AG,Smart Cities,2624-6511,2624-6511,2624-6511,2624-6511,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,16788.98,10.3390/educsci13121203,FALSE,MDPI AG,Education Sciences,2227-7102,NA,2227-7102,2227-7102,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,23000,10.3390/su15032717,FALSE,MDPI AG,Sustainability,2071-1050,NA,2071-1050,2071-1050,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Halmstad University,2023,28743.97,10.3390/ijerph20010643,FALSE,MDPI AG,International Journal of Environmental Research and Public Health,1660-4601,1661-7827,1660-4601,1660-4601,https://creativecommons.org/licenses/by/4.0/,TRUE,36612963,PMC9819966,NA,NA,FALSE
Halmstad University,2023,5897.01,10.5334/paah.273,FALSE,"Ubiquity Press, Ltd.",Physical Activity and Health,2515-2270,2515-2270,2515-2270,2515-2270,NA,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,12664.98,10.23865/njlr.v8.3197,FALSE,Cappelen Damm AS - Cappelen Damm Akademisk,Nordic Journal of Literacy Research,2464-1596,NA,2464-1596,2464-1596,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,9918.94,10.3389/feduc.2023.993268,FALSE,Frontiers Media SA,Frontiers in Education,2504-284X,NA,2504-284X,2504-284X,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,13254.99,10.3389/fcomm.2023.1077807,FALSE,Frontiers Media SA,Frontiers in Communication,2297-900X,NA,2297-900X,2297-900X,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,20721.01,10.3390/buildings13030633,FALSE,MDPI AG,Buildings,2075-5309,NA,2075-5309,2075-5309,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,13070.95,10.3389/fcomm.2023.1084737,FALSE,Frontiers Media SA,Frontiers in Communication,2297-900X,NA,2297-900X,2297-900X,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
Jönköping University,2023,20921.01,10.1371/journal.pone.0289309,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,NA,1932-6203,1932-6203,http://creativecommons.org/licenses/by/4.0/,TRUE,37983227,PMC10659190,NA,NA,TRUE
Jönköping University,2023,14500,10.23865/njlr.v9.3775,FALSE,Cappelen Damm AS - Cappelen Damm Akademisk,Nordic Journal of Literacy Research,2464-1596,NA,2464-1596,2464-1596,https://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,3149.94,10.24425/mper.2023.146020,FALSE,Polish Academy of Sciences Chancellery,Management and Production Engineering Review,2080-8208,2080-8208,2082-1344,2080-8208,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,7752.93,10.2355/isijinternational.isijint-2022-286,FALSE,Iron and Steel Institute of Japan,ISIJ International,0915-1559,0915-1559,1347-5460,0915-1559,NA,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,8379.79,10.4271/03-16-07-0055,TRUE,SAE International,SAE International Journal of Engines,1946-3936,1946-3936,1946-3944,1946-3944,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,10157.86,10.5194/angeo-41-327-2023,FALSE,Copernicus GmbH,Annales Geophysicae,1432-0576,NA,1432-0576,0992-7689,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,10245.35,10.29333/ejmste/13540,FALSE,Modestum Limited,"EURASIA Journal of Mathematics, Science and Technology Education",1305-8215,1305-8215,1305-8223,1305-8223,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,11786.91,10.17743/jaes.2022.0031,TRUE,Audio Engineering Society,Journal of the Audio Engineering Society,1549-4950,1549-4950,NA,1549-4950,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,15705.4,10.1016/j.bioactmat.2023.01.022,FALSE,Elsevier BV,Bioactive Materials,2452-199X,2452-199X,NA,2452-199X,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,36817825,PMC9932297,NA,NA,TRUE
KTH Royal Institute of Technology,2023,15730.54,10.1063/5.0080674,FALSE,AIP Publishing,AIP Advances,2158-3226,NA,2158-3226,2158-3226,NA,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,15750.06,10.5334/bc.280,FALSE,"Ubiquity Press, Ltd.",Buildings and Cities,2632-6655,2632-6655,NA,2632-6655,NA,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,15854.65,10.1063/5.0147668,FALSE,AIP Publishing,AIP Advances,2158-3226,NA,2158-3226,2158-3226,NA,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,16199.77,10.5334/bc.341,FALSE,"Ubiquity Press, Ltd.",Buildings and Cities,2632-6655,NA,2632-6655,2632-6655,https://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,16240.53,10.5334/bc.327,FALSE,"Ubiquity Press, Ltd.",Buildings and Cities,2632-6655,2632-6655,NA,2632-6655,NA,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,16260.51,10.5334/bc.347,FALSE,"Ubiquity Press, Ltd.",Buildings and Cities,2632-6655,2632-6655,NA,2632-6655,https://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,17686.68,10.1039/d2na00887d,FALSE,Royal Society of Chemistry (RSC),Nanoscale Advances,2516-0230,NA,2516-0230,2516-0230,http://creativecommons.org/licenses/by/3.0/,TRUE,36866251,PMC9972542,NA,NA,TRUE
KTH Royal Institute of Technology,2023,18766.02,10.1371/journal.pone.0247081,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,NA,1932-6203,1932-6203,http://creativecommons.org/licenses/by/4.0/,TRUE,33630868,PMC7906481,NA,NA,TRUE
KTH Royal Institute of Technology,2023,19211.25,10.1680/jensu.23.00012,TRUE,Thomas Telford Ltd.,Proceedings of the Institution of Civil Engineers - Engineering Sustainability,1478-4629,1478-4629,1751-7680,1478-4629,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,20264.06,10.3934/jmd.2023020,FALSE,American Institute of Mathematical Sciences (AIMS),Journal of Modern Dynamics,1930-5311,1930-5311,1930-532X,1930-5311,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,20575.77,10.7554/elife.88777.2,FALSE,"eLife Sciences Publications, Ltd",eLife,2050-084X,NA,2050-084X,2050-084X,NA,FALSE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,20727.78,10.1364/boe.486555,FALSE,Optica Publishing Group,Biomedical Optics Express,2156-7085,2156-7085,2156-7085,2156-7085,https://creativecommons.org/licenses/by/4.0/,TRUE,37497498,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,20856.26,10.7554/elife.88403.1,FALSE,"eLife Sciences Publications, Ltd",eLife,2050-084X,NA,2050-084X,2050-084X,NA,FALSE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,20887.49,10.2196/42283,FALSE,JMIR Publications Inc.,JMIR Human Factors,2292-9495,NA,2292-9495,2292-9495,NA,TRUE,37389904,PMC10365606,NA,NA,TRUE
KTH Royal Institute of Technology,2023,21045.01,10.1364/ome.491950,FALSE,Optica Publishing Group,Optical Materials Express,2159-3930,NA,2159-3930,2159-3930,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,21544.66,10.3390/su151411400,FALSE,MDPI AG,Sustainability,2071-1050,NA,2071-1050,2071-1050,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,21681.52,10.1364/josab.465693,TRUE,Optica Publishing Group,Journal of the Optical Society of America B,0740-3224,0740-3224,1520-8540,0740-3224,https://doi.org/10.1364/OA_License_v2#VOR-OA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,21997.59,10.3390/app14010270,FALSE,MDPI AG,Applied Sciences,2076-3417,NA,2076-3417,2076-3417,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,22286.57,10.1364/ol.481694,TRUE,Optica Publishing Group,Optics Letters,0146-9592,0146-9592,1539-4794,0146-9592,https://doi.org/10.1364/OA_License_v2#VOR-OA,TRUE,36946971,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,22294.6,10.1364/ol.506647,TRUE,Optica Publishing Group,Optics Letters,0146-9592,0146-9592,1539-4794,0146-9592,https://doi.org/10.1364/OA_License_v2#VOR-OA,TRUE,38099779,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,22643.17,10.1364/ol.496595,TRUE,Optica Publishing Group,Optics Letters,0146-9592,0146-9592,1539-4794,0146-9592,https://doi.org/10.1364/OA_License_v2#VOR-OA,TRUE,37581991,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,22772.45,10.1364/oe.480219,FALSE,Optica Publishing Group,Optics Express,1094-4087,NA,1094-4087,1094-4087,https://doi.org/10.1364/OA_License_v2#VOR-OA,TRUE,36823907,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,24092.42,10.1504/ijvsmt.2023.132317,TRUE,Inderscience Publishers,International Journal of Vehicle Systems Modelling and Testing,1745-6436,1745-6436,1745-6444,1745-6436,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,24469,10.1364/oe.478319,FALSE,Optica Publishing Group,Optics Express,1094-4087,NA,1094-4087,1094-4087,https://doi.org/10.1364/OA_License_v2#CCBY,TRUE,36859996,NA,NA,NA,TRUE
KTH Royal Institute of Technology,2023,25140.41,10.1680/jgeot.22.00408,TRUE,Thomas Telford Ltd.,Géotechnique,0016-8505,0016-8505,1751-7656,0016-8505,NA,TRUE,NA,NA,NA,NA,FALSE
KTH Royal Institute of Technology,2023,25443.86,10.2514/1.j062398,TRUE,American Institute of Aeronautics and Astronautics (AIAA),AIAA Journal,0001-1452,0001-1452,1533-385X,0001-1452,NA,TRUE,NA,NA,NA,NA,FALSE
