institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2016	1927.88	10.1016/j.chiabu.2016.06.001	TRUE						
gu	2016	1160	10.1002/ece3.2318	FALSE						
gu	2016	947	10.1002/2015WR018375	TRUE						
gu	2016	2368.66	10.1002/pro.3046	TRUE						
gu	2016	2842.39	10.1002/dys.1545	TRUE						
gu	2016	4462.7	10.1016/j.cmet.2016.05.001	TRUE						
gu	2016	3201.96	10.1016/j.bbadis.2016.11.033	TRUE						
gu	2016	2976.47	10.1016/j.ijcard.2016.06.037	TRUE						
gu	2016	3571.76	10.1016/j.rmed.2016.10.005	TRUE						
gu	2016	3355.3	10.1016/j.apergo.2016.06.012	TRUE						
gu	2016	2796.08	10.1016/j.jcis.2016.09.005	TRUE						
gu	2016	3427.45	10.1016/j.rse.2016.11.013	TRUE						
gu	2016	3123.89	10.1016/j.biomaterials.2016.01.034	TRUE						
gu	2016	3480.91	10.1016/j.cocis.2016.02.005	TRUE						
gu	2016	2976.47	10.1016/j.ijcard.2016.07.060	TRUE						
gu	2016	2750	10.1007/s00198-016-3643-2	TRUE						
gu	2016	2200	10.1007/s10113-015-0895-x	TRUE						
gu	2016	2750	10.1007/s00198-015-3445-y	TRUE						
gu	2016	2750	10.1007/s12678-016-0310-5	TRUE						
gu	2016	2454.48	10.1016/j.psyneuen.2015.11.021	TRUE						
gu	2016	2345.1	10.1016/j.yhbeh.2016.07.008	TRUE						
gu	2016	2345.1	10.1016/j.jelechem.2016.11.011	TRUE						
gu	2016	1927.88	10.1016/j.worlddev.2016.03.006	TRUE						
gu	2016	2320.6	10.1016/j.bbr.2016.04.015	TRUE						
gu	2016	2345.1	10.1016/j.neuropharm.2016.07.039	TRUE						
gu	2016	2705.88	10.1016/j.csr.2016.09.005	TRUE						
gu	2016	2231.35	10.1016/j.jacl.2016.02.015	TRUE						
gu	2016	2800	10.1038/tp.2016.104	FALSE						
gu	2016	2800	10.1038/tp.2016.12	FALSE						
gu	2016	3300	10.1038/npjpcrm.2015.82	FALSE						
gu	2016	1982	10.1038/ncomms11050	FALSE						
gu	2016	3700	10.1038/ncomms11161	FALSE						
gu	2016	3700	10.1038/ncomms11447	FALSE						
gu	2016	2900	10.1038/npp.2016.118	TRUE						
gu	2016	3700	10.1038/ncomms12689	FALSE						
gu	2016	4440	10.1038/ncomms12698	FALSE						
kth	2015	990	10.1109/JPHOT.2015.2428245	FALSE	IEEE	IEEE Photonics Journal			1943-0655	http://ieeexplore.ieee.org/document/7098342/
kth	2015	1430	10.1109/ACCESS.2015.2414815	FALSE	IEEE	IEEE Access			2169-3536	http://ieeexplore.ieee.org/document/7072470/
kth	2015	1505	10.1109/TIM.2015.2427731	TRUE	IEEE	IEEE Transactions on Instrumentation and Measurement		0018-9456	1557-9662	http://ieeexplore.ieee.org/document/7104121/
kth	2015	1505	10.1109/TITS.2015.2431293	TRUE	IEEE	IEEE Transactions on Intelligent Transportation Systems		1524-9050	1558-0016	http://ieeexplore.ieee.org/document/7116534/
kth	2015	1505	10.1109/TVT.2015.2434497	TRUE	IEEE	IEEE Transactions on Vehicular Technology		0018-9545	1939-9359	http://ieeexplore.ieee.org/document/7109926/
kth	2015	990	10.1109/JEDS.2015.2443172	FALSE	IEEE	IEEE Journal of the Electron Devices Society			2168-6734	http://ieeexplore.ieee.org/document/7120903/
kth	2015	1280	10.1109/JPETS.2015.2445296	TRUE	IEEE	IEEE Power and Energy Technology Systems Journal			2332-7707	http://ieeexplore.ieee.org/document/7234831/
kth	2015	1280	10.1109/TAFFC.2015.2457417	TRUE	IEEE	IEEE Transactions on Affective Computing		1949-3045		http://ieeexplore.ieee.org/document/7160715/
kth	2015	1505	10.1109/TASE.2015.2471305	TRUE	IEEE	IEEE Transactions on Automation Science and Engineering		1545-5955	1558-3783	http://ieeexplore.ieee.org/document/7254252/
kth	2015	1280	10.1109/PESGM.2016.7741306	TRUE	IEEE	Power and Energy Society General Meeting			1944-9933	http://ieeexplore.ieee.org/document/7741306/
kth	2015	2200	10.1007/s13280-015-0641-0	TRUE	Springer	Ambio				http://link.springer.com/article/10.1007/s13280-015-0641-0
kth	2015	0	10.1007/JHEP09(2015)096	FALSE	Springer	Journal of High Energy Physics				http://link.springer.com/article/10.1007/JHEP09(2015)096
kth	2015	2200	10.1007/s00253-015-7118-8	TRUE	Springer	Applied Microbiology and Biotechnology				http://link.springer.com/article/10.1007/s00253-015-7118-8
kth	2015	981.75	10.1186/s13634-015-0215-0	FALSE	Springer	EURASIP Journal on Advances in Signal Processing				http://asp.eurasipjournals.springeropen.com/articles/10.1186/s13634-015-0215-0
kth	2015	2200	10.1007/s13280-015-0735-8	TRUE	Springer	Ambio				http://link.springer.com/article/10.1007/s13280-015-0735-8
kth	2015	2200	10.1007/s10851-015-0613-9	TRUE	Springer	Journal of Mathematical Imaging and Vision				http://link.springer.com/article/10.1007/s10851-015-0613-9
kth	2015	2200	10.1007/s11571-015-9362-0	TRUE	Springer	Cognitive Neurodynamics				http://link.springer.com/article/10.1007/s11571-015-9362-0
kth	2015	2200	10.1007/s13280-015-0732-y	TRUE	Springer	Ambio				http://link.springer.com/article/10.1007/s13280-015-0732-y
kth	2015	0	10.1007/s13373-015-0067-9	FALSE	Springer	Bulletin of Mathematical Sciences				http://link.springer.com/article/10.1007/s13373-015-0067-9
kth	2015	930	10.1186/s40163-015-0027-4	FALSE	Springer	Crime Science				https://crimesciencejournal.springeropen.com/articles/10.1186/s40163-015-0027-4
kth	2015	2200	10.1007/s10237-015-0692-y	FALSE	Springer	Biomechanics and Modeling in Mechanobiology				http://link.springer.com/article/10.1007/s10237-015-0692-y
kth	2015	2275	10.1093/jigpal/jzv021	TRUE	Oxford University Press	Logic Journal of the IGPL				http://jigpal.oxfordjournals.org/content/early/2015/07/13/jigpal.jzv021.full
kth	2015	2275	10.1093/forestry/cpv040	TRUE	Oxford University Press	Forestry				http://forestry.oxfordjournals.org/content/early/2015/10/28/forestry.cpv040.short?rss=1
kth	2015	2130	10.1093/nar/gkv036	FALSE	Oxford University Press	Nucleic Acids Research				http://nar.oxfordjournals.org/content/43/7/e49
kth	2015	2526	10.1080/00423114.2014.889317	TRUE	Taylor and Francis	Vehicle System Dynamics				http://www.tandfonline.com/doi/abs/10.1080/00423114.2014.889317
kth	2015	1949	10.1016/j.carbpol.2015.02.059	TRUE	Elsevier	Carbohydrate Polymers	0144-8617			http://www.sciencedirect.com/science/article/pii/S0144861715001757
kth	2015	2959	10.1016/j.compscitech.2015.07.004	TRUE	Elsevier	Composites Science and Technology	0266-3538			http://www.sciencedirect.com/science/article/pii/S0266353815300348
kth	2015	2145	10.1016/j.egypro.2014.11.1175	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)03005-7
kth	2015	2145	10.1016/j.egypro.2014.11.1182	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)03012-4
kth	2015	2145	10.1016/j.egypro.2014.11.938	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)02768-4
kth	2015	2145	10.1016/j.egypro.2014.11.1019	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)02849-5
kth	2015	2145	10.1016/j.egypro.2014.11.1029	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)02859-8
kth	2015	2145	10.1016/j.egypro.2014.11.1051	FALSE	Elsevier	Energy Procedia	1876-6102			http://www.sciencedirect.com/science/article/pii/S1876-6102(14)02881-1
