institution	period	euro	doi	is_hybrid
gu	2017	2200	10.1007/s10502-016-9273-9	TRUE
gu	2017	2200	10.1007/s00384-016-2744-x	TRUE
gu	2017	2200	10.1007/s00228-016-2188-9	TRUE
gu	2017	2200	10.1007/s00125-017-4211-9	TRUE
gu	2017	2200	10.1007/s10849-017-9246-2	TRUE
gu	2017	2200	10.1007/s11017-017-9398-8	TRUE
gu	2017	2200	10.1007/s10897-017-0078-7	TRUE
gu	2017	2200	10.1007/s00464-017-5441-0	TRUE
gu	2017	2200	10.1007/s00702-017-1685-z	TRUE
gu	2017	2200	10.1007/s10640-017-0117-8	TRUE
gu	2017	2200	10.1007/s00113-017-0331-4	TRUE
gu	2017	2200	10.1007/s00068-017-0778-6	TRUE
gu	2017	2200	10.1007/s00167-017-4442-9	TRUE
gu	2017	2200	10.1007/s00167-017-4517-7	TRUE
gu	2017	2200	10.1007/s00167-017-4521-y	TRUE
gu	2017	2200	10.1007/s00198-017-3981-8	TRUE
gu	2017	2200	10.1007/s00268-017-3987-6	TRUE
gu	2017	2200	10.1007/s00405-017-4526-7	TRUE
gu	2017	2200	10.1007/s00420-017-1216-0	TRUE
gu	2017	2200	10.1007/s00436-017-5413-2	TRUE
gu	2017	2200	10.1007/s00442-017-3829-0	TRUE
gu	2017	2200	10.1007/s10212-017-0331-3	TRUE
gu	2017	2200	10.1007/s10543-017-0653-1	TRUE
gu	2017	2200	10.1007/s10664-017-9508-2	TRUE
gu	2017	2200	10.1007/s10763-017-9811-9	TRUE
gu	2017	2200	10.1007/s10856-017-5872-0	TRUE
gu	2017	2200	10.1007/s11572-017-9415-z	TRUE
gu	2017	2200	10.1007/s00484-017-1332-2	TRUE
gu	2017	2200	10.1007/s10453-017-9478-2	TRUE
gu	2017	2200	10.1007/s11412-017-9252-z	TRUE
gu	2017	2200	10.1007/s10761-017-0408-3	TRUE
gu	2017	2200	10.1007/s00586-017-5075-x	TRUE
gu	2017	2200	10.1007/s00167-017-4545-3	TRUE
gu	2017	2200	10.1007/s11858-017-0858-4	TRUE
gu	2017	2200	10.1007/s11051-017-3807-9	TRUE
gu	2017	2200	10.1007/s11894-017-0554-0	TRUE
gu	2017	2200	10.1007/s10433-017-0424-5	TRUE
gu	2017	2200	10.1007/s00520-017-3676-x	TRUE
gu	2017	2200	10.1007/s11901-017-0345-y	TRUE
gu	2017	2200	10.1007/s00216-017-0336-4	TRUE
gu	2017	2200	10.1007/s10761-017-0426-1	TRUE
gu	2017	2200	10.1007/s11102-017-0811-0	TRUE
gu	2017	2200	10.1007/s10096-017-2990-z	TRUE
gu	2017	2200	10.1007/s00223-017-0283-2	TRUE
gu	2017	2200	10.1007/s10838-017-9364-1	TRUE
gu	2017	2200	10.1007/s00167-017-4592-9	TRUE
gu	2017	2200	10.1007/s00420-017-1234-y	TRUE
gu	2017	2200	10.1007/s00455-017-9814-2	TRUE
gu	2017	2200	10.1007/s00702-017-1746-3	TRUE
gu	2017	2200	10.1007/s10040-017-1616-y	TRUE
gu	2017	2200	10.1007/s10639-017-9615-0	TRUE
gu	2017	2200	10.1007/s10640-017-0166-z	TRUE
gu	2017	2200	10.1007/s10800-017-1100-3	TRUE
gu	2017	2200	10.1007/s11136-017-1636-z	TRUE
gu	2017	2200	10.1007/s12526-017-0749-5	TRUE
gu	2017	2200	10.1007/s13158-017-0192-6	TRUE
gu	2017	2200	10.1007/s13158-017-0193-5	TRUE
gu	2017	2200	10.1007/s41111-017-0068-9	TRUE
gu	2017	2200	10.1007/s00198-017-4099-8	TRUE
gu	2017	2200	10.1007/s40609-017-0089-1	TRUE
gu	2017	2200	10.1007/s00467-017-3705-5	TRUE
gu	2017	2200	10.1007/s12116-017-9251-0	TRUE
gu	2017	2200	10.1007/s00262-017-2040-9	TRUE
gu	2017	2200	10.1007/s10639-017-9631-0	TRUE
gu	2017	2200	10.1007/s10611-017-9695-1	TRUE
gu	2017	2200	10.1007/s10578-017-0746-8	TRUE
gu	2017	2200	10.1007/s00221-017-5058-5	TRUE
gu	2017	2200	10.1007/s00586-017-5264-7	TRUE
gu	2017	2200	10.1007/s00392-017-1146-6	TRUE
gu	2017	2200	10.1007/s00382-017-3861-0	TRUE
