su

already in masterfile:
doi	earlier_year	earlier_cost	new_reported_cost
10.1080/19491034.2016.1220465	2016	734	1754
10.1080/23337486.2017.1395675	2017	1965	1965
10.1093/ije/dyx260	2017	2450	2573
10.1093/nar/gkx1138	2017,	1065	959
10.1126/sciadv.1602485	2017	3415	3135
10.1175/jas-d-17-0241.1	2017	676	2040
10.1175/jcli-d-17-0386.1	2017	676	2603
10.3389/fmars.2017.00440	2017	1602	1419
10.3390/ijerph14121607	2017	1387	1370
10.3390/ijerph15010156	2017	1387	1358
10.3390/rs10020166	2017	1560	1222
