"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"uu",2017,1323.927,"10.1021/acsami.7b10643",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28925263","PMC5663419",NA,NA,FALSE
"uu",2017,1380.291,"10.1021/acs.chemmater.6b05323",TRUE,"American Chemical Society (ACS)","Chemistry of Materials","0897-4756","0897-4756","1520-5002",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,3836.448,"10.1021/acsnano.6b07763",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28177611",NA,NA,NA,FALSE
"uu",2017,3695.12,"10.1021/acsami.7b16293",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"29266917",NA,NA,NA,FALSE
"uu",2017,1355.1835,"10.1021/acsenergylett.7b00730",TRUE,"American Chemical Society (ACS)","ACS Energy Letters","2380-8195","2380-8195","2380-8195",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,1477.7235,"10.1021/jacs.6b11308",TRUE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28013539",NA,NA,NA,FALSE
"uu",2017,1489.818,"10.1021/acsami.6b16536",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28338314",NA,NA,NA,FALSE
"uu",2017,2643.762,"10.1021/acs.est.7b02876",TRUE,"American Chemical Society (ACS)","Environmental Science & Technology","0013-936X","0013-936X","1520-5851",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28914530",NA,NA,NA,FALSE
"uu",2017,3065.898,"10.1021/acs.est.6b03608",TRUE,"American Chemical Society (ACS)","Environmental Science & Technology","0013-936X","0013-936X","1520-5851",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"27976873","PMC5299545",NA,NA,FALSE
"uu",2017,1799.2381,"10.1021/acs.jpclett.7b02358",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry Letters","1948-7185","1948-7185",NA,NA,"http://pubs.acs.org/page/policy/authorchoice_ccbyncnd_termsofuse.html",TRUE,"29022713","PMC5672556",NA,NA,FALSE
"uu",2017,1385.4423,"10.1021/jacs.7b09384",TRUE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"29113434","PMC5724027",NA,NA,FALSE
"uu",2017,1844.59,"10.1021/acscatal.7b01575",TRUE,"American Chemical Society (ACS)","ACS Catalysis","2155-5435","2155-5435","2155-5435",NA,"http://pubs.acs.org/page/policy/authorchoice_ccbyncnd_termsofuse.html",TRUE,"29291138","PMC5745072",NA,NA,FALSE
"uu",2017,1318.7427,"10.1021/acs.molpharmaceut.7b00364",TRUE,"American Chemical Society (ACS)","Molecular Pharmaceutics","1543-8384","1543-8384","1543-8392",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"28767254",NA,NA,NA,FALSE
"uu",2017,526.9704,"10.2340/00015555-2606",FALSE,"Acta Dermato-Venereologica","Acta Dermato Venereologica","0001-5555","0001-5555",NA,NA,NA,TRUE,"28093599",NA,NA,NA,TRUE
"uu",2017,2248.3252,"10.1063/1.4973353",TRUE,"AIP Publishing","Applied Physics Letters","0003-6951","0003-6951","1077-3118",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"uu",2017,488.6145,"10.1063/1.4977814",TRUE,"AIP Publishing","Journal of Applied Physics","0021-8979","0021-8979","1089-7550",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"uu",2017,1247.2515,"10.1063/1.5002091",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"uu",2017,1388.827,"10.1103/physrevb.96.205127",TRUE,"American Physical Society (APS)","Physical Review B","2469-9950","2469-9950","2469-9969",NA,"https://link.aps.org/licenses/aps-default-license",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,5946.4944,"10.1158/0008-5472.can-16-1921",TRUE,"American Association for Cancer Research (AACR)","Cancer Research","0008-5472","0008-5472","1538-7445",NA,NA,TRUE,"28108514",NA,NA,NA,FALSE
"uu",2017,1189.188,"10.1158/1078-0432.ccr-15-2903",TRUE,"American Association for Cancer Research (AACR)","Clinical Cancer Research","1078-0432","1078-0432","1557-3265",NA,NA,TRUE,"26957556",NA,NA,NA,FALSE
"uu",2017,3397.3566,"10.1126/sciadv.1701427",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548",NA,NA,TRUE,"29349293","PMC5770163",NA,NA,TRUE
"uu",2017,3203.244,"10.4049/jimmunol.1700786",TRUE,"The American Association of Immunologists","The Journal of Immunology","0022-1767","0022-1767","1550-6606",NA,NA,TRUE,"29127151","PMC5728160",NA,NA,FALSE
"uu",2017,2771.5677,"10.1175/jas-d-16-0308.1",TRUE,"American Meteorological Society","Journal of the Atmospheric Sciences","0022-4928","0022-4928","1520-0469",NA,"http://www.ametsoc.org/PUBSReuseLicenses",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,586.3011,"10.1103/physrevphyseducres.13.010107",FALSE,"American Physical Society (APS)","Physical Review Physics Education Research","2469-9896",NA,"2469-9896",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"uu",2017,1065.7988,"10.1074/jbc.m116.762096",TRUE,"American Society for Biochemistry & Molecular Biology (ASBMB)","Journal of Biological Chemistry","0021-9258","0021-9258","1083-351X",NA,NA,TRUE,"28420731","PMC5454114",NA,NA,FALSE
"uu",2017,1085.8177,"10.1074/mcp.m116.064725",TRUE,"American Society for Biochemistry & Molecular Biology (ASBMB)","Molecular & Cellular Proteomics","1535-9476","1535-9476","1535-9484",NA,NA,TRUE,"28111361","PMC5341009",NA,NA,FALSE
"uu",2017,4441.0245,"10.1172/jci88491",FALSE,"American Society for Clinical Investigation","Journal of Clinical Investigation","0021-9738","0021-9738","1558-8238",NA,NA,TRUE,"28481223","PMC5451232",NA,NA,FALSE
"uu",2017,2687.6025,"10.1002/cpt.778",TRUE,"Wiley","Clinical Pharmacology & Therapeutics","0009-9236","0009-9236","1532-6535",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28653479","PMC5888114",NA,NA,FALSE
"uu",2017,2352.9858,"10.1128/aac.00684-17",TRUE,"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","0066-4804","0066-4804","1098-6596",NA,NA,TRUE,"28607015","PMC5527591",NA,NA,FALSE
"uu",2017,2354.8888,"10.1128/mbio.00358-17",TRUE,"American Society for Microbiology","mBio","2150-7511",NA,"2150-7511",NA,NA,TRUE,"28634236","PMC5478891",NA,NA,TRUE
"uu",2017,2937.9042,"10.1128/msystems.00038-17",FALSE,"American Society for Microbiology","mSystems","2379-5077",NA,"2379-5077",NA,NA,TRUE,"29104938","PMC5663940",NA,NA,TRUE
"uu",2017,2349.8244,"10.1128/aem.02634-16",TRUE,"American Society for Microbiology","Applied and Environmental Microbiology","0099-2240","0099-2240","1098-5336",NA,NA,TRUE,"28115385","PMC5359482",NA,NA,FALSE
"uu",2017,2148.3198,"10.1128/aac.01495-17",TRUE,"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","0066-4804","0066-4804","1098-6596",NA,NA,TRUE,"28893783","PMC5655081",NA,NA,FALSE
"uu",2017,1234.2847,"10.1128/jvi.00166-17",TRUE,"American Society for Microbiology","Journal of Virology","0022-538X","0022-538X","1098-5514",NA,NA,TRUE,"28298601","PMC5432871",NA,NA,FALSE
"uu",2017,1096.2996,"10.1128/jvi.01154-17",TRUE,"American Society for Microbiology","Journal of Virology","0022-538X","0022-538X","1098-5514",NA,NA,TRUE,"29142133","PMC5774890",NA,NA,FALSE
"uu",2017,1676.4011,"10.1186/s12862-017-1023-y",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28774266","PMC5543598",NA,NA,TRUE
"uu",2017,1443.0262,"10.1186/s13326-017-0136-y",FALSE,"BioMed Central","Journal of Biomedical Semantics","2041-1480",NA,"2041-1480",NA,NA,TRUE,"28870259","PMC5584330",NA,NA,TRUE
"uu",2017,1426.9145,"10.1186/s12987-017-0078-x",FALSE,"BioMed Central","Fluids and Barriers of the CNS","2045-8118",NA,"2045-8118",NA,NA,TRUE,"29089037","PMC5664587",NA,NA,TRUE
"uu",2017,1728.4003,"10.1186/s40359-017-0209-9",FALSE,"BioMed Central","BMC Psychology","2050-7283",NA,"2050-7283",NA,NA,TRUE,"29246175","PMC5732431",NA,NA,TRUE
"uu",2017,1611.8586,"10.1186/s12877-017-0601-6",FALSE,"BioMed Central","BMC Geriatrics","1471-2318",NA,"1471-2318",NA,NA,TRUE,"28886705","PMC5591537",NA,NA,TRUE
"uu",2017,2010.1279,"10.1186/s12974-017-1018-z",FALSE,"BioMed Central","Journal of Neuroinflammation","1742-2094",NA,"1742-2094",NA,NA,TRUE,"29228971","PMC5725978",NA,NA,TRUE
"uu",2017,1416.0443,"10.1186/s12885-017-3472-5",FALSE,"BioMed Central","BMC Cancer","1471-2407",NA,"1471-2407",NA,NA,TRUE,"28716088","PMC5513093",NA,NA,TRUE
"uu",2017,1888.5724,"10.1186/s13073-017-0511-4",FALSE,"BioMed Central","Genome Medicine","1756-994X",NA,"1756-994X",NA,NA,TRUE,"29301589","PMC5755028",NA,NA,TRUE
"uu",2017,1339.8187,"10.1186/s40635-017-0152-3",FALSE,"BioMed Central","Intensive Care Medicine Experimental","2197-425X",NA,"2197-425X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28861863","PMC5578946",NA,NA,TRUE
"uu",2017,1673.6742,"10.1186/s12883-017-0981-4",FALSE,"BioMed Central","BMC Neurology","1471-2377",NA,"1471-2377",NA,NA,TRUE,"29191168","PMC5710131",NA,NA,TRUE
"uu",2017,1562.7403,"10.1186/s13028-017-0311-2",FALSE,"BioMed Central","Acta Veterinaria Scandinavica","1751-0147",NA,"1751-0147",NA,NA,TRUE,"28668080","PMC5493851",NA,NA,TRUE
"uu",2017,1288.4003,"10.1186/s40169-017-0173-2",FALSE,"BioMed Central","Clinical and Translational Medicine","2001-1326",NA,"2001-1326",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29124525","PMC5680409",NA,NA,TRUE
"uu",2017,1622.0435,"10.1186/s12862-017-1005-0",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28673261","PMC5496241",NA,NA,TRUE
"uu",2017,1771.4169,"10.1186/s12862-017-0981-4",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28606137","PMC5469140",NA,NA,TRUE
"uu",2017,2095.5011,"10.1186/s12862-017-1022-z",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28806900","PMC5557520",NA,NA,TRUE
"uu",2017,1714.3104,"10.1186/s12862-017-1010-3",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28709398","PMC5513245",NA,NA,TRUE
"uu",2017,874.2107,"10.1186/s12862-017-0928-9",FALSE,"BioMed Central","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,NA,TRUE,"28320321","PMC5360047",NA,NA,TRUE
"uu",2017,1766.71,"10.1186/s13227-016-0064-4",FALSE,"BioMed Central","EvoDevo","2041-9139",NA,"2041-9139",NA,NA,TRUE,"28053697","PMC5209905",NA,NA,TRUE
"uu",2017,1264.4104,"10.1186/s13321-017-0204-4",FALSE,"BioMed Central","Journal of Cheminformatics","1758-2946",NA,"1758-2946",NA,NA,TRUE,"28316653","PMC5339264",NA,NA,TRUE
"uu",2017,1510.6289,"10.1186/s12889-017-4804-8",FALSE,"BioMed Central","BMC Public Health","1471-2458",NA,"1471-2458",NA,NA,TRUE,"29017504","PMC5633870",NA,NA,TRUE
"uu",2017,1477.6542,"10.1186/s12913-017-2403-0",FALSE,"BioMed Central","BMC Health Services Research","1472-6963",NA,"1472-6963",NA,NA,TRUE,"28709461","PMC5512814",NA,NA,TRUE
"uu",2017,1735.569,"10.1186/s12944-017-0445-2",FALSE,"BioMed Central","Lipids in Health and Disease","1476-511X",NA,"1476-511X",NA,NA,TRUE,"28372558","PMC5379570",NA,NA,TRUE
"uu",2017,1792.4258,"10.1186/s12889-017-4437-y",FALSE,"BioMed Central","BMC Public Health","1471-2458",NA,"1471-2458",NA,NA,TRUE,"28592314","PMC5463312",NA,NA,TRUE
"uu",2017,1478.2691,"10.1186/s13010-017-0053-9",FALSE,"BioMed Central","Philosophy, Ethics, and Humanities in Medicine","1747-5341",NA,"1747-5341",NA,NA,TRUE,"29284489","PMC5747178",NA,NA,TRUE
"uu",2017,1728.4003,"10.1186/s12881-017-0504-6",FALSE,"BioMed Central","BMC Medical Genetics","1471-2350",NA,"1471-2350",NA,NA,TRUE,"29207948","PMC5718074",NA,NA,TRUE
"uu",2017,1791.3984,"10.1186/s12885-017-3531-y",FALSE,"BioMed Central","BMC Cancer","1471-2407",NA,"1471-2407",NA,NA,TRUE,"28800750","PMC5553747",NA,NA,TRUE
