doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10549-017-4639-0	Karolinska Institute	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018
10.1007/s11307-017-1153-z	Uppsala University	Molecular Imaging and Biology	Medicine & Public Health	1536-1632	1860-2002	2018
10.1007/s10926-017-9751-9	Karolinska Institute	Journal of Occupational Rehabilitation	Medicine & Public Health	1053-0487	1573-3688	2018
10.1007/s11266-018-9954-5	University of Gothenburg	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2018
10.1007/s11116-017-9854-3	Uppsala University	Transportation	Economics	0049-4488	1572-9435	2018
10.1007/s40258-017-0369-z	Lund University	Applied Health Economics and Health Policy	Medicine & Public Health	1175-5652	1179-1896	2018
10.1007/s11044-018-9617-8	Lund University	Multibody System Dynamics	Engineering	1384-5640	1573-272X	2018
10.1007/s11019-018-9825-2	University of Gothenburg	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2018
10.1007/s00269-018-0945-2	Uppsala University	Physics and Chemistry of Minerals	Earth Sciences	0342-1791	1432-2021	2018
10.1007/s11628-017-0359-0	Royal Institute of Technology	Service Business	Business and Management	1862-8516	1862-8508	2018
10.1007/s10096-018-3194-x	Lund University	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018
10.1007/s00420-018-1291-x	Stockholm University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2018
10.1007/s10615-018-0653-x	Karolinska Institute	Clinical Social Work Journal	Psychology	0091-1674	1573-3343	2018
10.1007/s10750-017-3477-8	Swedish University of Agricultural Sciences	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018
10.1007/s10967-017-5666-3	Swedish Defence Research Agency	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018
10.1007/s10611-017-9753-8	Stockholm School of Economics	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2018
10.1007/s10230-018-0515-3	Lund University	Mine Water and the Environment	Earth Sciences	1025-9112	1616-1068	2018
10.1007/s10701-017-0132-1	Stockholm University	Foundations of Physics	Physics	0015-9018	1572-9516	2018
10.1007/s40271-017-0291-3	Karolinska Institute	The Patient - Patient-Centered Outcomes Research	Medicine & Public Health	1178-1653	1178-1661	2018
10.1007/s10570-018-1661-2	Uppsala University	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s10758-018-9352-5	Umea University	"Technology, Knowledge and Learning"	Education	2211-1662	2211-1670	2018
10.1007/s00227-017-3279-6	Stockholm University	Marine Biology	Environment	0025-3162	1432-1793	2018
10.1007/s11628-018-0361-1	Södertörn University	Service Business	Business and Management	1862-8516	1862-8508	2018
10.1007/s10021-017-0217-x	Umea University	Ecosystems	Life Sciences	1432-9840	1435-0629	2018
10.1007/s10549-018-4664-7	Lund University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018
10.1007/s40474-018-0129-2	Jönköping University	Current Developmental Disorders Reports	Medicine & Public Health		2196-2987	2018
10.1007/s10654-018-0360-5	Karolinska Institute	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2018
10.1007/s00431-017-3079-5	Lund University	European Journal of Pediatrics	Medicine & Public Health	0340-6199	1432-1076	2018
10.1007/s00384-018-2967-0	Uppsala University	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2018
10.1007/s11239-017-1607-9	Lund University	Journal of Thrombosis and Thrombolysis	Medicine & Public Health	0929-5305	1573-742X	2018
10.1007/s10549-018-4663-8	Karolinska Institute	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018
10.1007/s12198-018-0186-0	University of Boras	Journal of Transportation Security	Business and Management	1938-7741	1938-775X	2018
10.1007/s11227-018-2238-4	Royal Institute of Technology	The Journal of Supercomputing	Computer Science	0920-8542	1573-0484	2018
10.1007/s10067-018-3983-8	Lund University	Clinical Rheumatology	Medicine & Public Health	0770-3198	1434-9949	2018
10.1007/s11010-017-3261-0	Uppsala University	Molecular and Cellular Biochemistry	Life Sciences	0300-8177	1573-4919	2018
10.1007/s10646-017-1880-6	Lund University	Ecotoxicology	Environment	0963-9292	1573-3017	2018
10.1007/s11116-017-9853-4	Swedish National Road and Transport Research Institute (VTI)	Transportation	Economics	0049-4488	1572-9435	2018
10.1007/s00027-018-0565-4	Swedish University of Agricultural Sciences	Aquatic Sciences	Life Sciences	1015-1621	1420-9055	2018
10.1007/s13164-017-0379-7	Lund University	Review of Philosophy and Psychology	Philosophy	1878-5158	1878-5166	2018
10.1007/s10456-018-9594-9	Linköping University	Angiogenesis	Biomedicine	0969-6970	1573-7209	2018
10.1007/s10460-018-9851-y	Lund University	Agriculture and Human Values	Philosophy	0889-048X	1572-8366	2018
10.1007/s00198-017-4363-y	University of Gothenburg	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2018
10.1007/s11212-018-9298-0	Uppsala University	Studies in East European Thought	Philosophy	0925-9392	1573-0948	2018
10.1007/s40430-018-1036-5	University West	Journal of the Brazilian Society of Mechanical Sciences and Engineering	Engineering	1678-5878	1806-3691	2018
10.1007/s12076-017-0200-3	Lulea University of Technology	Letters in Spatial and Resource Sciences	Economics	1864-4031	1864-404X	2018
10.1007/s11469-017-9866-4	Karolinska Institute	International Journal of Mental Health and Addiction	Medicine & Public Health	1557-1874	1557-1882	2018
10.1007/s11664-017-6023-6	Uppsala University	Journal of Electronic Materials	Materials Science	0361-5235	1543-186X	2018
10.1007/s10921-017-0457-x	Lund University	Journal of Nondestructive Evaluation	Engineering	0195-9298	1573-4862	2018
