"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"mah",2011,2631,"10.1111/j.1600-0579.2011.00702.x",TRUE,"Wiley-Blackwell","European Journal of Dental Education","13965883",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"22251323","PMC3490366",NA,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0579/homepage/ProductInformation.html",FALSE
"mah",2014,2631,"10.1111/clr.12507",TRUE,"Wiley-Blackwell","Clinical Oral Implants Research","09057161",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25349918",NA,NA,"http://onlinelibrary.wiley.com/doi/10.1111/clr.12507/full",FALSE
"mah",2016,346,"10.1177/2158244016633739",FALSE,"SAGE Publications","SAGE Open","2158-2440",NA,"2158-2440",NA,TRUE,NA,NA,NA,"http://sgo.sagepub.com/content/6/1/2158244016633739",TRUE
"mah",2015,1311,"10.1371/journal.pone.0140052",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26451727","PMC4599802",NA,"http://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0140052",TRUE
"mah",2015,2631,"10.1177/1468796815588620 ",TRUE,"SAGE Publications","Ethnicities","1468-7968","1468-7968","1741-2706",NA,TRUE,NA,NA,NA,"http://etn.sagepub.com/content/early/2015/05/29/1468796815588620",FALSE
"mah",2015,1882,"10.1186/s12912-015-0092-8",FALSE,"Springer Science + Business Media","BMC Nursing","1472-6955",NA,"1472-6955",NA,TRUE,"26236155","PMC4521316",NA,"http://bmcnurs.biomedcentral.com/articles/10.1186/s12912-015-0092-8",TRUE
