institution	period	euro	doi	is_hybrid	publisher
liu	2019	4216.2816	10.1002/advs.201901144	FALSE	Wiley
liu	2019	1609.048	10.1109/access.2019.2944210	FALSE	Institute of Electrical & Electronics Engineers (IEEE)
