"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2018,2430,"10.1016/j.tsf.2018.01.050",TRUE,"Elsevier","Thin Solid Films","0040-6090","0040-6090",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2018,2225.5,"10.3389/fimmu.2018.00899",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29760706","PMC5936988",NA,NA,TRUE
"liu",2018,1963.3,"10.3389/fimmu.2018.00285",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29515584","PMC5826073",NA,NA,TRUE
"liu",2018,2090.9,"10.3389/fmicb.2017.02370",FALSE,"Frontiers","Frontiers in Microbiology","1664-302X",NA,"1664-302X",NA,NA,TRUE,"29259583","PMC5723394",NA,NA,TRUE
"liu",2018,2496.9,"10.3389/fnmol.2018.00139",FALSE,"Frontiers","Frontiers in Molecular Neuroscience","1662-5099",NA,"1662-5099",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29740282","PMC5928231",NA,NA,TRUE
"liu",2018,2037.1,"10.3389/fphys.2018.00036",FALSE,"Frontiers","Frontiers in Physiology","1664-042X",NA,"1664-042X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29422871","PMC5788974",NA,NA,TRUE
"liu",2018,613,"10.3389/fsufs.2018.00003",FALSE,"Frontiers","Frontiers in Sustainable Food Systems","2571-581X",NA,"2571-581X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,833.4,"10.3389/fsufs.2018.00024",FALSE,"Frontiers","Frontiers in Sustainable Food Systems","2571-581X",NA,"2571-581X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1723.2,"10.1155/2018/1632195",FALSE,"Hindawi Publishing Corporation",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"liu",2018,1546.3,"10.1155/2018/4258020",FALSE,"Hindawi Publishing Corporation","International Journal of Aerospace Engineering","1687-5966","1687-5966","1687-5974",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1473.3,"10.1109/access.2018.2801246",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1514.3,"10.1109/access.2018.2847440",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1950,"10.1088/2053-1583/aa89cd",TRUE,"IOP Publishing","2D Materials","2053-1583",NA,"2053-1583",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2018,1950,"10.1088/1748-605x/aa9486",TRUE,"IOP Publishing","Biomedical Materials","1748-605X",NA,"1748-605X",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,"29047451",NA,NA,NA,FALSE
"liu",2018,1560,"10.1088/1367-2630/aaa752",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,473.1,"10.7567/apex.11.051003",TRUE,"Japan Society of Applied Physics","Applied Physics Express","1882-0778","1882-0778","1882-0786",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2018,1315,"10.2196/humanfactors.9641",FALSE,"JMIR Publications","JMIR Human Factors","2292-9495",NA,"2292-9495",NA,NA,TRUE,"29991469","PMC6058091",NA,NA,TRUE
"liu",2018,1338.4,"10.2196/mededu.9137",FALSE,"JMIR Publications","JMIR Medical Education","2369-3762",NA,"2369-3762",NA,NA,TRUE,"29487043","PMC5849799",NA,NA,TRUE
"liu",2018,2256.3,"10.2196/mhealth.9642",FALSE,"JMIR Publications","JMIR mHealth and uHealth","2291-5222",NA,"2291-5222",NA,NA,TRUE,"29941417","PMC6037945",NA,NA,TRUE
"liu",2018,2232.2,"10.2196/10270",FALSE,"JMIR Publications","JMIR mHealth and uHealth","2291-5222",NA,"2291-5222",NA,NA,TRUE,"30104183","PMC6111145",NA,NA,TRUE
"liu",2018,3279.8,"10.1097/aud.0000000000000616",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Ear and Hearing","0196-0202","0196-0202",NA,NA,NA,TRUE,"29870521",NA,NA,NA,FALSE
"liu",2018,85.4,"10.5296/jet.v5i1.12702",FALSE,"Macrothink Institute","Journal of Education and Training","2330-9709",NA,"2330-9709",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2018,504,"10.3390/brainsci8020028",FALSE,"MDPI","Brain Sciences","2076-3425",NA,"2076-3425",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29415442","PMC5836047",NA,NA,TRUE
"liu",2018,1262.4,"10.3390/en11010234",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1281,"10.3390/nano8040223",FALSE,"MDPI","Nanomaterials","2079-4991",NA,"2079-4991",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29642435","PMC5923553",NA,NA,TRUE
"liu",2018,1300,"10.3390/nano8030157",FALSE,"MDPI","Nanomaterials","2079-4991",NA,"2079-4991",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29534542","PMC5869648",NA,NA,TRUE
"liu",2018,756,"10.3390/s18051636",FALSE,"MDPI","Sensors","1424-8220",NA,"1424-8220",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29783791","PMC5982923",NA,NA,TRUE
"liu",2018,1179.4,"10.3390/su10010216",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1209,"10.3390/su10061851",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1215,"10.3390/su10061965",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1644,"10.1038/s41598-018-24658-8",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29670166","PMC5906579",NA,NA,TRUE
"liu",2018,1305,"10.1038/s41598-017-19126-8",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29362366","PMC5780418",NA,NA,TRUE
"liu",2018,1305,"10.1038/s41598-018-19718-y",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29367698","PMC5784145",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-25647-7",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29740066","PMC5940688",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-25390-z",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29725117","PMC5934375",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-25282-2",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29728633","PMC5935702",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-23606-w",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29599428","PMC5876336",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-22418-2",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29520033","PMC5843640",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-21810-2",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29572445","PMC5865130",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-21398-7",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29453421","PMC5816648",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-28242-y",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29977063","PMC6033918",NA,NA,TRUE
"liu",2018,1370,"10.1038/s41598-018-24761-w",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29691430","PMC5915428",NA,NA,TRUE
"liu",2018,1366.1,"10.1364/boe.9.002284",FALSE,"Optical Society of America (OSA)","Biomedical Optics Express","2156-7085","2156-7085","2156-7085",NA,NA,TRUE,"29760987","PMC5946788",NA,NA,TRUE
"liu",2018,1904.4,"10.1371/journal.pcbi.1006086",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29624574","PMC5906030",NA,NA,TRUE
"liu",2018,2311.9,"10.1371/journal.pmed.1002540",FALSE,"Public Library of Science (PLoS)","PLOS Medicine","1549-1676",NA,"1549-1676",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29584734","PMC5870940",NA,NA,TRUE
"liu",2018,1232.2,"10.1371/journal.pone.0194352",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29570713","PMC5865724",NA,NA,TRUE
"liu",2018,1223.1,"10.1371/journal.pone.0191067",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29346396","PMC5773164",NA,NA,TRUE
"liu",2018,1191.6,"10.1371/journal.pone.0193223",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29513704","PMC5841668",NA,NA,TRUE
"liu",2018,945.8,"10.1039/c7cc08471d",FALSE,"Royal Society of Chemistry (RSC)","Chemical Communications","1359-7345","1359-7345","1364-548X",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,"29323369",NA,NA,NA,FALSE
"liu",2018,715.8,"10.1177/2053951718772137",FALSE,"SAGE Publications","Big Data & Society","2053-9517","2053-9517","2053-9517",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,610,"10.1177/2055102918755045",FALSE,"SAGE Publications","Health Psychology Open","2055-1029","2055-1029","2055-1029",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"29479456","PMC5818095",NA,NA,TRUE
"liu",2018,507.9,"10.1177/2515690x18767671",TRUE,"SAGE Publications","Journal of Evidence-Based Integrative Medicine","2515-690X","2515-690X","2515-690X",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"29637792","PMC5900809",NA,NA,TRUE
"liu",2018,2385.7,"10.1177/1073858418760481",TRUE,"SAGE Publications","The Neuroscientist","1073-8584","1073-8584","1089-4098",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"29557255","PMC6047205",NA,NA,FALSE
"liu",2018,2150,"10.1080/19460171.2017.1297730",TRUE,"Taylor & Francis","Critical Policy Studies","1946-0171","1946-0171","1946-018X",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2018,1360.5,"10.1262/jrd.2017-141",FALSE,"Japanese Society of Animal Reproduction","Journal of Reproduction and Development","0916-8818","0916-8818","1348-4400",NA,NA,TRUE,"29887535","PMC6105739",NA,NA,FALSE
"liu",2018,1395,"10.1002/adma.201707292",TRUE,"Wiley","Advanced Materials","0935-9648",NA,NA,NA,"http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,"29717514",NA,NA,NA,FALSE
"liu",2018,4375,"10.1002/adma.201706520",TRUE,"Wiley","Advanced Materials","0935-9648",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29488263","PMC5948103",NA,NA,FALSE
"liu",2018,2917,"10.1002/admt.201700360",TRUE,"Wiley","Advanced Materials Technologies","2365-709X",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2018,1800,"10.1002/open.201800020",TRUE,"Wiley","ChemistryOpen","2191-1363",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30003003","PMC6031858",NA,NA,TRUE
"liu",2018,2500,"10.1002/ehf2.12230",FALSE,"Wiley","ESC Heart Failure","2055-5822",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29168621","PMC5880672",NA,NA,TRUE
"liu",2018,1504,"10.1002/nop2.129",FALSE,"Wiley","Nursing Open","2054-1058",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29599996","PMC5867287",NA,NA,TRUE
"liu",2018,1880,"10.1002/nop2.162",FALSE,"Wiley","Nursing Open","2054-1058",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30062024","PMC6056445",NA,NA,TRUE
