institution	period	euro	doi	is_hybrid
liu	2017	987	10.1016/j.indmarman.2016.12.015	TRUE
liu	2017	1323.1000000000001	10.29011/2575-7032/100024	FALSE
liu	2017	1323.1000000000001	10.29011/2575-7032/100025	FALSE
