institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
gih,2021,22000,10.3389/fphys.2021.687566,FALSE,Frontiers Media,Frontiers in Physiology,1664-042X,,,
gih,2021,22833,10.3389/fnhum.2021.719509,FALSE,Frontiers Media,Frontiers in Human Neuroscience,1662-5161,,,
gih,2021,23151,10.3389/fpsyg.2021.655881,FALSE,Frontiers Media,Frontiers in Psychology,1664-1078,,,
gih,2021,14911,10.3389/fspor.2021.768295,FALSE,Frontiers Media,Frontiers in Sports and Active Living,2624-9367,,,
