"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2017,1848,"10.1039/c6ta11237d",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry A","2050-7488","2050-7488","2050-7496",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ta/c6ta11237d#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7ce01135k",TRUE,"Royal Society of Chemistry (RSC)","CrystEngComm","1466-8033",NA,"1466-8033",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2018/ce/c7ce01135k#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7cp01507k",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084",NA,NA,TRUE,"28379259",NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp01507k#!divAbstract",FALSE
"kth",2017,2412,"10.1039/c7cp03517a",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084",NA,NA,TRUE,"28681896",NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp03517a#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7cp04662f",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084",NA,NA,TRUE,"28994441",NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp04662f#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7cp06259a",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29319082",NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2018/cp/c7cp06259a#!divAbstract",FALSE
"kth",2017,965,"10.1039/c7gc02489d",TRUE,"Royal Society of Chemistry (RSC)","Green Chemistry","1463-9262","1463-9262","1463-9270",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/gc/c7gc02489d#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7py01097d",TRUE,"Royal Society of Chemistry (RSC)","Polymer Chemistry","1759-9954","1759-9954","1759-9962",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/py/c7py01097d#!divAbstract",FALSE
"kth",2017,567,"10.1039/c7ra00496f",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra00496f#!divAbstract",TRUE
"kth",2017,567,"10.1039/c7ra01082f",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra01082f#!divAbstract",TRUE
"kth",2017,567,"10.1039/c7ra02821k",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra02821k#!divAbstract",TRUE
"kth",2017,567,"10.1039/c7ra05209j",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra05209j#!divAbstract",TRUE
"kth",2017,567,"10.1039/c7ra09828f",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra09828f#!divAbstract",TRUE
"kth",2017,1848,"10.1039/c7ta04684g",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry A","2050-7488","2050-7488","2050-7496",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ta/c7ta04684g#!divAbstract",FALSE
"kth",2017,1848,"10.1039/c7ta09973h",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry A","2050-7488","2050-7488","2050-7496",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2018/ta/c7ta09973h#!divAbstract",FALSE
"kth",2017,1780,"10.1063/1.4940916",FALSE,"AIP Publishing","Structural Dynamics","2329-7778",NA,"2329-7778",NA,NA,TRUE,"26958585","PMC4752554",NA,"http://aca.scitation.org/doi/10.1063/1.4940916",TRUE
"kth",2017,1092,"10.1063/1.4944515",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://aip.scitation.org/doi/full/10.1063/1.4944515",TRUE
"kth",2017,1092,"10.1063/1.4974066",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://aip.scitation.org/doi/full/10.1063/1.4974066",TRUE
"kth",2017,1092,"10.1063/1.4974282",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://aip.scitation.org/doi/full/10.1063/1.4974282",TRUE
"kth",2017,1780,"10.1063/1.4982907",TRUE,"AIP Publishing","Journal of Applied Physics","0021-8979","0021-8979","1089-7550",NA,NA,TRUE,NA,NA,NA,"http://aip.scitation.org/doi/full/10.1063/1.4982907",FALSE
"kth",2017,1780,"10.1063/1.4983650",TRUE,"AIP Publishing","The Journal of Chemical Physics","0021-9606","0021-9606","1089-7690",NA,NA,TRUE,"28571365","PMC5440234",NA,"http://aip.scitation.org/doi/full/10.1063/1.4983650",FALSE
"kth",2017,1780,"10.1063/1.4994004",FALSE,"AIP Publishing","Structural Dynamics","2329-7778",NA,"2329-7778",NA,NA,TRUE,"28781982","PMC5515673",NA,"http://aca.scitation.org/doi/full/10.1063/1.4994004",TRUE
"kth",2017,1780,"10.1063/1.4995651",FALSE,"AIP Publishing","APL Materials","2166-532X",NA,"2166-532X",NA,NA,TRUE,NA,NA,NA,"http://aip.scitation.org/doi/full/10.1063/1.4995651",TRUE
"kth",2017,2150,"10.1080/10408436.2017.1370576",TRUE,"Taylor & Francis","Critical Reviews in Solid State and Materials Sciences","1040-8436","1040-8436","1547-6561",NA,NA,TRUE,NA,NA,NA,"http://www.tandfonline.com/doi/full/10.1080/10408436.2017.1370576",FALSE
"kth",2017,2150,"10.1080/13583883.2017.1322631",TRUE,"Taylor & Francis","Tertiary Education and Management","1358-3883","1358-3883","1573-1936",NA,NA,TRUE,NA,NA,NA,"http://www.tandfonline.com/doi/full/10.1080/13583883.2017.1322631",FALSE
"kth",2017,2150,"10.1080/14649357.2017.1321776",TRUE,"Taylor & Francis","Planning Theory & Practice","1464-9357","1464-9357","1470-000X",NA,NA,TRUE,NA,NA,NA,"http://www.tandfonline.com/doi/abs/10.1080/14649357.2017.1321776",FALSE
"kth",2017,1400,"10.1080/16549716.2017.1321904",FALSE,"Taylor & Francis","Global Health Action","1654-9716","1654-9716","1654-9880",NA,NA,TRUE,"28838300","PMC5645697",NA,"http://www.tandfonline.com/doi/full/10.1080/16549716.2017.1321904",TRUE
"kth",2017,1400,"10.1080/16549716.2017.1344003",FALSE,"Taylor & Francis","Global Health Action","1654-9716","1654-9716","1654-9880",NA,NA,TRUE,"28838309","PMC5645721",NA,"http://www.tandfonline.com/doi/full/10.1080/16549716.2017.1344003",TRUE
"kth",2017,2150,"10.1080/17499518.2017.1416643",TRUE,"Taylor & Francis","Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards","1749-9518","1749-9518","1749-9526",NA,NA,TRUE,NA,NA,NA,"http://www.tandfonline.com/doi/abs/10.1080/17499518.2017.1416643",FALSE
"kth",2017,1935,"10.1088/1361-6404/aa94e4",TRUE,"IOP Publishing","European Journal of Physics","0143-0807","0143-0807","1361-6404",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://iopscience.iop.org/article/10.1088/1361-6404/aa94e4",FALSE
"kth",2017,1299,"10.1088/1367-2630/aa5f74",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://iopscience.iop.org/article/10.1088/1367-2630/aa5f74",TRUE
"kth",2017,1662,"10.1088/1748-9326/aa7499",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://iopscience.iop.org/article/10.1088/1748-9326/aa7499",TRUE
"kth",2017,1110,"10.1088/1748-9326/aa7e18",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,"http://iopscience.iop.org/article/10.1088/1748-9326/aa7e18/meta",TRUE
"kth",2017,1353,"10.1093/bioinformatics/btx553",TRUE,"Oxford University Press (OUP)","Bioinformatics","1367-4803","1367-4803","1460-2059",NA,NA,TRUE,"28968783","PMC5870682",NA,"https://academic.oup.com/bioinformatics/article/34/1/137/4103397",FALSE
"kth",2017,2383,"10.1093/cjres/rsx001",TRUE,"Oxford University Press (OUP)","Cambridge Journal of Regions, Economy and Society","1752-1378","1752-1378","1752-1386",NA,NA,TRUE,NA,NA,NA,"https://academic.oup.com/cjres/article/10/2/231/3003399",FALSE
"kth",2017,2417,"10.1093/nar/gkx436",TRUE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28525570","PMC5569991",NA,"https://academic.oup.com/nar/article/45/13/e125/3835310",TRUE
"kth",2017,2417,"10.1093/nar/gkx994",TRUE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29069445","PMC5753183",NA,"https://academic.oup.com/nar/article/46/D1/D595/4563312",TRUE
"kth",2017,2582,"10.1093/teamat/hrx007",TRUE,"Oxford University Press (OUP)","Teaching Mathematics and its Applications: An International Journal of the IMA","0268-3679","0268-3679","1471-6976",NA,NA,TRUE,NA,NA,NA,"https://academic.oup.com/teamat/advance-article/doi/10.1093/teamat/hrx007/3852147",FALSE
"kth",2017,1518,"10.1103/physreva.96.012116",FALSE,"American Physical Society (APS)","Physical Review A","2469-9926","2469-9926","2469-9934",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://journals.aps.org/pra/abstract/10.1103/PhysRevA.96.012116",FALSE
"kth",2017,1518,"10.1103/physrevapplied.7.064018",FALSE,"American Physical Society (APS)","Physical Review Applied","2331-7019",NA,"2331-7019",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.7.064018",FALSE
"kth",2017,2083,"10.1111/caim.12246",TRUE,"Wiley","Creativity and Innovation Management","0963-1690",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/abs/10.1111/caim.12246",FALSE
"kth",2017,3167,"10.1111/cod.12946",TRUE,"Wiley","Contact Dermatitis","0105-1873",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29322530","PMC5901407",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1111/cod.12946",FALSE
"kth",2017,1780,"10.1121/1.4976814",TRUE,"Acoustical Society of America (ASA)","The Journal of the Acoustical Society of America","0001-4966","0001-4966",NA,NA,NA,TRUE,"28372062",NA,NA,"http://asa.scitation.org/doi/full/10.1121/1.4976814",FALSE
"kth",2017,647,"10.1149/2.0041705jss",TRUE,"The Electrochemical Society (ECS)","ECS Journal of Solid State Science and Technology","2162-8769","2162-8769","2162-8777",NA,NA,TRUE,NA,NA,NA,"http://jss.ecsdl.org/content/6/4/P197.full",FALSE
"kth",2017,0,"10.1149/2.0191709jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/9/C465.full",FALSE
"kth",2017,647,"10.1149/2.0311706jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/6/C207.full",FALSE
"kth",2017,0,"10.1149/2.0311708jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/8/H5197.full",FALSE
"kth",2017,647,"10.1149/2.0331709jss",TRUE,"The Electrochemical Society (ECS)","ECS Journal of Solid State Science and Technology","2162-8769","2162-8769","2162-8777",NA,NA,TRUE,NA,NA,NA,"http://jss.ecsdl.org/content/6/9/P653.full",FALSE
