institution	period	euro	doi	is_hybrid
ki	2017	1804.9	10.1177/1460458217704248	TRUE
ki	2017	2197.22	10.1177/1352458517690618	TRUE
ki	2017	2145.14	10.1177/1352458517721356	TRUE
