institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
ki	2021	199.84		FALSE	Longdom Publishing	Internal Medicine	2165-8048		2165-8048	https://www.longdom.org/open-access/could-physical-activity-in-childhood-be-a-link-in-the-development-of-cardiovascular-diseases-in-people-born-extremely-preterm-a-sh-70815.html
ki	2021	649.28		FALSE	Medical Journals Sweden	Journal of Rehabilitation Medicine	1651-2081		1651-2081	https://www.medicaljournals.se/jrm/content/abstract/10.2340/20030711-1000064
