institution,period,sek,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
lu,2023-09-12T00:00:00Z,475256.3,,FALSE,Brill,"Sikhs in the Indian Vernacular Press: The Punjab Newspapers Reports, 1868-1924.",,,
lu,2023-08-01T00:00:00Z,138871,,FALSE,Edward Elgar Publishing,Understanding the Urban Sharing Economy,,,
lu,2023-01-17T00:00:00Z,395175.29,,FALSE,Edward Elgar Publishing,Research Handbook on Competition and Corporate Law,,,
lu,2023-05-01T00:00:00Z,115458.66,,FALSE,Edward Elgar Publishing,Critical Pedagogy and Transformative Learning,,,
lu,2023-08-08T00:00:00Z,91664,,FALSE,University of Bristol,Pathways to Sustainable Welfare / Håkan Johansson,,,
lu,2023-12-01T00:00:00Z,134997,,FALSE,Edward Elgar Publishing,"Feminism, LGBTI+ and Hope in a Turbulent Era",,,
lu,2023-12-14T00:00:00Z,144485,,FALSE,Nordic Academic Press AB,Civilsamhällets eliter i Sverige,,,
