institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
mau,2021,24774.99,10.3389/fpsyg.2021.636091,FALSE,,,,,,
mau,2021,3334.19,10.1177/23800844211053775,TRUE,,,,,,
mau,2021,14829,10.3389/fdgth.2021.675754,FALSE,,,,,,
mau,2021,14437,10.3389/fbioe.2021.703735,FALSE,,,,,,
mau,2021,20885,10.3389/fpubh.2021.537468,FALSE,,,,,,
mau,2021,8679.72,10.3389/fpubh.2021.642983,FALSE,,,,,,
