institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
su,2021,23304,10.3389/fpsyg.2021.674202,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,23304,10.3389/fpsyg.2021.676271,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,14614.372881355932,10.3389/fpsyg.2021.712518,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,2655,10.3389/fpsyg.2021.772537,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22426.25,10.3389/fpsyg.2021.576943,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22426.25,10.3389/fpsyg.2021.625153,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22595.38,10.3389/fpsyg.2021.659300,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22450.41,10.3389/fpsyg.2021.664501,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22595.38,10.3389/fpsyg.2021.669905,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,24370.84,10.3389/fpsyg.2021.688242,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22815.21,10.3389/fpsyg.2021.689443,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22595.38,10.3389/fpsyg.2021.693866,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22595.38,10.3389/fpsyg.2021.695288,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22744.32,10.3389/fpsyg.2021.708867,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,14079.97,10.3389/fpsyt.2021.645273,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,9550.75,10.3389/fpubh.2021.579948,FALSE,Frontiers Media,Frontiers in Public Health,,,,
su,2021,7504.677966101694,10.3389/fsoc.2021.724751,FALSE,Frontiers Media,Frontiers in Sociology,,,,
su,2021,7335.05,10.3389/fsoc.2021.669789,FALSE,Frontiers Media,Frontiers in Sociology,,,,
su,2021,6912.203389830508,10.3389/fspor.2021.741277,FALSE,Frontiers Media,Frontiers in Sports and Active Living,,,,
su,2021,17236.78,10.1088/1751-8121/abc59c,TRUE,IOP Publishing,Journal of Physics A: Mathematical and Theoretical,,,,
su,2021,22463.41,10.1088/1361-648X/abb682,TRUE,IOP Publishing,Journal of Physics: Condensed Matter,,,,
su,2021,7102.62,10.1177/23982128211007772,TRUE,SAGE Publications,Brain and Neuroscience Advances,,,,
su,2021,4017.06,10.1177/20416695211009552,TRUE,SAGE Publications,i-Perception,,,,
su,2021,26731.35,10.1080/0046760X.2021.1890239,TRUE,Taylor & Francis,History of Education,,,,
